kartez,family,genus.old,genus.new,species.old,species.new,taxon.old,taxon.new,life_cycle,life_form,native,path,g_f,apgf,a_p,avg.height_A,avg.height_B,avg.height_C,avg.height_F,avg.height_G,avg.height_P,max.height_A,max.height_B,max.height_C,max.height_F,max.height_G,max.height_P,p95.height_A,p95.height_B,p95.height_C,p95.height_F,p95.height_G,p95.height_P,ldmc,sla,lma,area,d15N,d13C,pN,pC,cn,sdmc,rdmc,sdens,rdens,fr.diam,fr.dmc,fr.srl,fr.dens,seed_mass,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
CHCO2,Solanaceae,Chamaesaracha,Chamaesaracha,coronopus,coronopus,Chamaesaracha_coronopus,Chamaesaracha_coronopus,p,H,y,C3,f,p_f,1,6.2588,7.95,NA,7.95,NA,5.7385,20,19,NA,19,NA,20,17,17.4,NA,17.4,NA,16.05,0.1515,24.2348,0.0419,1.3455,6.0813,-28.5522,3.4865,43.4525,12.6352,0.1894,0.2361,3e-4,4e-4,0.0458,0.0433,0.0706,58.752,1.0434,-0.05828595151774076,2.86665778685105,-0.05690432257884503,2.8992763235437757,NA,NA,-0.05690432257884503,2.8992763235437757,NA,NA,-0.05939125466885735,2.8405629574968696
CHER2,Asteraceae,Chaetopappa,Chaetopappa,ericoides,ericoides,Chaetopappa_ericoides,Chaetopappa_ericoides,p,ss/H,y,C3,f,p_f,1,6.5175,10.5,6.2267,6.4157,7.2629,7.2966,22,12,22,22,17,19,13,11.85,14,13,12,13.1,0.329,24.6846,0.0415,0.2175,1.3378,-29.7855,1.7728,48.7602,28.018,0.3713,0.4168,8e-4,9e-4,0.0601,0.0482,0.1454,68.5412,0.1795,0.090135582147499907,2.377870285859539,-0.07619047619047614,3.872983346207417,0.10697948654262604,2.321610314464361,0.1012409287436686,2.617890557956114,0.1450819095911636,2.98960694451702,0.04571419576282516,1.4177891974732395
CHGR2,Chenopodiaceae,Chenopodium,Chenopodium,graveolens,vulvaria,Chenopodium_graveolens,Chenopodium_vulvaria,a,H,y,C3,f,a_f,0,9.3864,NA,NA,NA,NA,9.3864,50,NA,NA,NA,NA,50,29,NA,NA,NA,NA,29,0.0978,83.383,0.0122,0.4392,-3.2344,-27.1408,1.6523,54.7665,35.0116,0.2168,0.2386,8e-4,7e-4,0.0254,0.0989,0.0378,77.5429,NA,-0.13896953610866333,2.185387383882865,NA,NA,NA,NA,NA,NA,NA,NA,-0.13896953610866333,2.185387383882865
CHIN2,Chenopodiaceae,Chenopodium,Chenopodium,incanum,incanum,Chenopodium_incanum,Chenopodium_incanum,a,H,y,C3,f,a_f,0,14.5417,16.6364,12.7692,14.5417,NA,NA,39,39,16,39,NA,NA,26.2,31,15.5,26.2,NA,NA,0.0988,33.8645,0.0301,0.5563,9.5212,-25.5122,2.7563,36.5811,13.438,0.2725,0.3792,4e-4,6e-4,NA,NA,NA,NA,0.3463,-0.07619047619047618,3.872983346207417,-0.07619047619047618,3.872983346207417,NA,NA,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA
CHRE4,Euphorbiaceae,Euphorbia,Euphorbia,revoluta,revoluta,Euphorbia_revoluta,Euphorbia_revoluta,a,H,y,C4,f,a_f,0,5.4598,7.4933,7.7273,9.8242,10.3368,4.5097,23,14,12,23,23,13,15,12.4,11.3,18.45,19,9,0.2411,41.8416,0.0243,0.1614,-1.1805,-15.5918,1.7901,45.779,25.909,0.3053,0.2666,0.0017,0.0014,0.0309,0.1677,0.1085,130.2155,0.1453,-0.1232120534070402,2.966047973351045,-0.04884598040549293,3.218770315751267,-0.09952897559789708,3.461413255678879,-0.05416498203167274,3.053153696135011,-0.05106950953823222,2.9578790205147336,-0.149104705172803,2.933383327307058
CHSE7,Euphorbiaceae,Euphorbia,Euphorbia,serrula,serrula,Euphorbia_serrula,Euphorbia_serrula,a,H,y,C4,f,a_f,0,3.5717,3.7044,2.8729,3.5871,4.0368,3.2256,31,11,20,31,31,9,10,8.25,8,10,11,8,0.2738,31.0494,0.0334,0.3836,1.3964,-14.5372,1.5738,45.2685,30.119,0.27,0.2993,0.001,9e-4,0.0204,0.0927,0.0417,158.5703,0.7086,-0.13342702784969804,2.960646703365512,-0.14939508843679888,2.972208080610237,-0.1459197909846476,2.8328914711715374,-0.1376647219597937,2.891528551395942,-0.10965182560320952,2.9186968164560225,-0.10411631025486956,3.4387139211550406
CHSES,Euphorbiaceae,Euphorbia,Euphorbia,serpyllifolia,serpyllifolia,Euphorbia_serpyllifolia,Euphorbia_serpyllifolia,a,H,y,C4,f,a_f,0,4.3076,4.1988,4.8514,4.421,4.5315,3.8551,35,17,15,17,17,35,11,11,10,11,13,10,0.2983,30.8889,0.0327,0.2475,0.2021,-14.407,1.6056,47.2936,29.4697,0.3305,0.3158,0.0013,9e-4,0.0156,0.0743,0.0128,69.5452,0.1534,-0.09573680249962974,2.9093151762124947,-0.135814951313683,2.7658868495500424,-0.15139896223729288,2.8160485713497976,-0.13139269509842047,2.9140945042493938,-0.07186563924941868,3.4588928436604083,-0.05627761469030133,2.904026053184993
CINE,Asteraceae,Cirsium,Cirsium,neomexicanum,neomexicanum,Cirsium_neomexicanum,Cirsium_neomexicanum,bp,H,y,C3,f,p_f,1,5.3571,6.1,NA,6.1,NA,3.5,13,13,NA,13,NA,5,11.9,12.3,NA,12.3,NA,5,0.21,8.8694,NA,2.4714,5.8961,-27.6129,1.7201,45.7988,27.7924,0.2783,0.2981,3e-4,4e-4,NA,NA,NA,NA,10.8382,0.16639612283183908,1.997039539645194,0.4300185640401966,1.5341512333518947,NA,NA,0.4300185640401966,1.5341512333518947,NA,NA,-0.09722631837651848,2.459927845938493
COEQ,Convolvulaceae,Convolvulus,Convolvulus,equitans,equitans,Convolvulus_equitans,Convolvulus_equitans,ap,V/H,y,C3,f,p_f,1,10.2319,10.2712,NA,10.2712,NA,10,33,33,NA,33,NA,25,25.6,26.75,NA,26.75,NA,21.15,0.2054,38.3978,0.026,1.3708,3.8944,-28.7986,3.0534,46.467,15.2181,0.1838,NA,3e-4,NA,NA,NA,NA,NA,NA,-0.01938710584871788,3.737938073883961,0.01307196291800116,3.6607693468419855,NA,NA,0.01307196291800116,3.6607693468419855,NA,NA,-0.07619047619047621,3.872983346207417
CRCR3,Boraginaceae,Cryptantha,Cryptantha,crassisepala,crassisepala,Cryptantha_crassisepala,Cryptantha_crassisepala,a,H,y,C3,f,a_f,0,1.0064,1.0039,1.0079,1.0064,1,1,5,2,5,5,1,1,1,1,1.95,1,1,1,0.1475,27.5231,0.0366,0.2609,4.8741,-28.9042,1.3902,35.1498,25.647,0.2324,0.2811,3e-4,4e-4,NA,NA,NA,NA,0.2873,-0.07785882128657415,3.4801332021333997,-0.04981684981684978,3.6261853398776815,-0.0986038059489907,3.2074458991414767,-0.07802158666180323,3.4418063588091057,-0.07619047619047617,3.8729833462074175,-0.07619047619047616,3.8729833462074175
