kartez,family,genus.old,genus.new,species.old,species.new,taxon.old,taxon.new,life_cycle,life_form,native,path,g_f,apgf,a_p,avg.height_A,avg.height_B,avg.height_C,avg.height_F,avg.height_G,avg.height_P,max.height_A,max.height_B,max.height_C,max.height_F,max.height_G,max.height_P,p95.height_A,p95.height_B,p95.height_C,p95.height_F,p95.height_G,p95.height_P,ldmc,sla,lma,area,d15N,d13C,pN,pC,cn,sdmc,rdmc,sdens,rdens,fr.diam,fr.dmc,fr.srl,fr.dens,seed_mass,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
SEBA3,Fabaceae,Senna,Senna,bauhinioides,bauhinioides,Senna_bauhinioides,Senna_bauhinioides,p,ss/H,y,C3,f,p_f,1,3.0761,3.0761,NA,3.0761,NA,NA,10,10,NA,10,NA,NA,8.4,8.4,NA,8.4,NA,NA,0.2244,22.162,0.0465,1.4709,1.4675,-28.3703,1.9689,43.0253,23.2058,0.3884,0.4201,6e-4,6e-4,0.0313,0.0502,0.0789,183.0963,4.1761,-0.0229095137546294,3.163926898669992,-0.0229095137546294,3.163926898669992,NA,NA,-0.0229095137546294,3.163926898669992,NA,NA,NA,NA
SEDI3,Nyctaginaceae,Selinocarpus,Acleisanthes,diffusus,diffusa,Selinocarpus_diffusus,Acleisanthes_diffusa,p,S/ss/H,y,C3,s,p_s,1,7.1304,11.125,5.6667,7.2273,1,5,16,16,14,16,1,5,15,15.7,12.9,15.05,1,5,0.1203,23.4874,0.0427,0.7668,3.8129,-25.8035,2.441,40.0536,16.414,0.3148,0.3869,7e-4,6e-4,0.0591,0.1874,0.1528,174.3032,5.253,-0.04339501843875198,2.880253460702417,-0.12935359864897897,2.9953252895100553,0.0232470049330514,2.2688166891422776,-0.05305329685796378,2.6320709893261665,NA,NA,-0.00476190476190476,3.872983346207417
SEFLF,Asteraceae,Senecio,Senecio,flaccidus,flaccidus,Senecio_flaccidus,Senecio_flaccidus,p,ss/H,y,C3,f,p_f,1,19.9762,19.9762,NA,19.9762,NA,NA,40,40,NA,40,NA,NA,37,37,NA,37,NA,NA,0.1445,20.3011,0.0496,0.6417,4.5532,-29.7244,2.427,42.884,17.797,0.3285,0.3742,5e-4,5e-4,0.0732,0.0357,0.1076,34.5277,0.8199,-0.03799107817247696,3.761643300385976,-0.03799107817247696,3.761643300385976,NA,NA,-0.03799107817247696,3.761643300385976,NA,NA,NA,NA
SOEL,Solanaceae,Solanum,Solanum,elaeagnifolium,elaeagnifolium,Solanum_elaeagnifolium,Solanum_elaeagnifolium,p,ss/H,y,C3,f,p_f,1,13.7006,13.7285,8.8889,13.343,20.6667,13.9064,40,40,25,40,30,39,30,30,21.8,30,29.8,31.55,0.2488,18.2492,0.0549,2.7361,2.4836,-28.2821,2.3131,46.1896,20.0384,0.2862,0.3125,4e-4,4e-4,0.0621,0.0684,0.1568,64.4447,2.7887,0.0324931179117689,2.6955346776118088,0.01631113900083132,2.732803589144211,-0.10713816788863129,2.4834394784485916,-0.00793173449704244,2.778621555977923,-0.07619047619047623,3.872983346207417,0.14568270465644068,2.4628914181866888
SPCOC,Malvaceae,Sphaeralcea,Sphaeralcea,coccinea,coccinea,Sphaeralcea_coccinea,Sphaeralcea_coccinea,bp,ss/H,y,C3,f,p_f,1,3.5455,NA,NA,NA,NA,3.5455,6,NA,NA,NA,NA,6,6,NA,NA,NA,NA,6,0.2477,19.5526,0.0515,0.4699,-0.6019,-27.2951,0.9563,44.544,47.2282,0.2366,0.2607,9e-4,7e-4,NA,NA,NA,NA,NA,0.01585054898419432,2.7489372645797907,NA,NA,NA,NA,NA,NA,NA,NA,0.01585054898419432,2.7489372645797907
SPHA,Malvaceae,Sphaeralcea,Sphaeralcea,hastulata,hastulata,Sphaeralcea_hastulata,Sphaeralcea_hastulata,p,ss/H,y,C3,f,p_f,1,9.7689,9.6275,13,9.7689,13.6,NA,32,29,32,32,16,NA,23.45,22.85,29.4,23.45,15.6,NA,0.2272,21.7714,0.0464,1.4445,5.1484,-29.8164,2.31,44.8373,19.711,0.3619,0.374,6e-4,4e-4,0.0458,0.0531,0.1052,97.2982,0.8867,-0.07723503483725923,3.036964543077942,-0.07734498837902587,2.9489625638011554,-0.0761904761904762,3.872983346207417,-0.07723503483725923,3.036964543077942,NA,NA,NA,NA
SPORO,Poaceae,Sporobolus,Sporobolus,flexuosus,flexuosus,Sporobolus_flexuosus,Sporobolus_flexuosus,p,G,y,C4,g,p_g,1,17.87525,12.45835,11.7407,17.8848,18.9541,15.66665,65.5,22.5,35,65.5,65.5,18,37.5,20.975,26.125,37.5,37.5,17.65,0.3403,25.5061,0.03945,2.00155,2.4502499999999996,-15.33275,1.62995,45.1221,28.4774,0.5169,0.3563,7.999999999999999e-4,0.0013,NA,NA,NA,NA,0.0869,0.12290103784095482,2.4128319758781696,0.17968786400250367,2.351896825106296,0.05759745060523368,2.831763186694728,0.1663601170547035,2.2961528796774835,0.3003077830013076,1.4580207617872374,-0.0136846396879695,2.7795377067946125
SPPO6,Malvaceae,Sphaeralcea,Sphaeralcea,polychroma,polychroma,Sphaeralcea_polychroma,Sphaeralcea_polychroma,p,ss/H,y,C3,f,p_f,1,11.4367,2.1667,8.2126,10.8669,14.5494,12.8789,131,18,47,88,88,131,41,7.7,36,40.7,43,46,0.2322,23.4553,0.0449,1.5978,0.7518,-28.7731,1.9295,46.4392,24.7881,0.3278,0.3566,5e-4,5e-4,0.0396,0.0813,0.0941,127.8853,0.8335,0.06192001635176878,2.880221423757894,-0.07604754375872601,3.442811399593438,0.04968567434197008,2.6173269081682213,0.05901881851944922,2.89785641872344,0.1493917800638335,2.8514129407566595,0.06899168606804772,2.8372361235293755
STPA4,Asteraceae,Stephanomeria,Stephanomeria,pauciflora,pauciflora,Stephanomeria_pauciflora,Stephanomeria_pauciflora,p,ss/H,y,C3,f,p_f,1,18.1538,18.1842,NA,18.1538,17,NA,36,36,NA,36,17,NA,33.15,33.2,NA,33.15,17,NA,0.1706,25.7269,0.0397,0.6529,2.8412,-27.9474,2.7742,47.7939,17.4312,0.2577,0.2857,3e-4,4e-4,NA,NA,NA,NA,0.8113,0.04669401206955459,1.7735832098255224,0.04669401206955459,1.7735832098255224,NA,NA,0.04669401206955459,1.7735832098255224,NA,NA,NA,NA
TECO,Verbenaceae,Tetraclea,Clerodendrum,coulteri,coulteri,Tetraclea_coulteri,Clerodendrum_coulteri,p,ss/H,y,C3,f,p_f,1,5.0941,5.119,3,5.0941,NA,NA,24,24,3,24,NA,NA,18,18,3,18,NA,NA,0.2257,19.3182,0.052,0.8524,2.235,-28.0338,2.8312,47.7744,17.5475,0.2632,0.2665,4e-4,4e-4,0.0504,0.0641,0.1483,105.5607,7.6221,-0.0095593701838118,3.1591218041880147,-0.0095593701838118,3.1591218041880147,NA,NA,-0.0095593701838118,3.1591218041880147,NA,NA,NA,NA
THAC,Asteraceae,Thymophylla,Thymophylla,acerosa,acerosa,Thymophylla_acerosa,Thymophylla_acerosa,p,ss/H,y,C3,f,p_f,1,6.3564,NA,6.364,6.3564,2,NA,43,NA,43,43,2,NA,14,NA,14,14,2,NA,0.2353,25.1335,0.0403,0.1376,1.5988,-27.8307,1.2417,47.0661,44.2319,0.3969,0.4307,6e-4,6e-4,0.0712,0.1426,0.4936,155.02,0.2955,0.14903559662520469,2.549584232781661,NA,NA,0.1651231732548962,2.455055724679821,0.14903559662520469,2.549584232781661,-0.0761904761904762,3.872983346207417,NA,NA
THME,Asteraceae,Thelesperma,Thelesperma,megapotamicum,megapotamicum,Thelesperma_megapotamicum,Thelesperma_megapotamicum,p,H,y,C3,f,p_f,1,10,5,15,10,NA,NA,15,5,15,15,NA,NA,14.5,5,15,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0761904761904762,3.872983346207417,-0.07619047619047618,3.872983346207417,-0.07619047619047621,3.872983346207417,-0.0761904761904762,3.872983346207417,NA,NA,NA,NA
TILA2,Amaranthaceae,Tidestromia,Tidestromia,lanuginosa,lanuginosa,Tidestromia_lanuginosa,Tidestromia_lanuginosa,a,H,y,C4,f,a_f,0,5.3358,NA,4.05,5.3358,5.3746,NA,26,NA,8,26,26,NA,13.85,NA,8,13.85,14.5,NA,0.2513,26.5032,0.0385,0.3787,5.3673,-14.6051,2.7086,40.2891,15.0792,0.1776,0.2693,3e-4,5e-4,0.0369,0.057,0.0438,78.4636,0.1349,-0.08096370889298157,3.6474088174244375,NA,NA,-0.0761904761904762,3.872983346207417,-0.08096370889298157,3.6474088174244375,-0.08156036298079475,3.619212001326565,NA,NA
ZIGR,Asteraceae,Zinnia,Zinnia,grandiflora,grandiflora,Zinnia_grandiflora,Zinnia_grandiflora,p,S/ss/H,y,C3,s,p_s,1,6.65,6.875,NA,6.875,NA,5.75,15,15,NA,15,NA,7,12.5,13.3,NA,13.3,NA,7,0.2973,20.3248,0.05,0.3343,1.5124,-28.7231,1.8518,44.7356,24.8326,0.2934,0.3769,5e-4,5e-4,0.0825,0.0732,0.3103,81.4469,2.3737,-0.059997613452166,2.8458863966869417,-0.10360708599805826,3.0006415368903063,NA,NA,-0.10360708599805826,3.0006415368903063,NA,NA,0.2452686943690798,1.7626004152633876
