code,kartez,site,lf_sum_area,lf_n_pieces,lf_whole_ind,lf_wet_mass,lf_dry_mass,lf_petiole_ind,mass,d15N,d13C,pN,pC,cn,stm_wet,stm_len,stm_d1,stm_d2,rt_wet,rt_len,rt_d1,rt_d2,stm_dry1,stm_dry2,rt_dry1,rt_dry2,length,diam.95%,volume,wet,dry,seed_mass_sum,seed_n
320,IPCO2,B,0.8312999999999999,5,TRUE,0.1443,0.0226,FALSE,NA,NA,NA,NA,NA,NA,0.0247,28.4,0.7,0.7,0.0167,20.1,0.4,0.4,0.0063,0.006,0.0035,0.0034,NA,NA,NA,NA,NA,NA,NA
321,IPCO2,B,1.4649,5,TRUE,0.2585,0.031,FALSE,3.24,3.2820375000000004,-26.840375,4.018678558083074,47.64355768196018,11.85552837664288,0.0184,16.4,0.8,0.8,0.1286,50.3,1.6,0.7,0.0037,0.0034,0.0276,0.0273,NA,NA,NA,NA,NA,NA,NA
322,IPCO2,B,1.2187000000000001,5,TRUE,0.2165,0.0384,FALSE,3.277,-0.06296249999999992,-27.869374999999998,1.4917533272416625,46.76469010054289,31.348808979708117,0.0268,30.7,0.6,0.6,0.0408,26.8,1.1,0.6,0.0082,0.0081,0.0103,0.0102,NA,NA,NA,NA,NA,NA,NA
323,HODR,B,0.2145,20,TRUE,0.0256,0.0088,FALSE,NA,NA,NA,NA,NA,NA,0.0182,13.1,1,0.8,0.2354,26.9,2.6,3.5,0.0046,0.0045,0.1039,0.1038,NA,NA,NA,NA,NA,NA,NA
324,BELY,B,2.571,5,TRUE,0.5451,0.0919,FALSE,3.234,2.8270875,-28.597625,3.386633058382248,49.687266031211536,14.671582416710512,0.1169,15.1,2.6,2.9,0.4658,26,3.8,4,0.0254,0.0254,0.1195,0.1191,NA,NA,NA,NA,NA,NA,NA
325,RHTR,PJ,2.8252,5,TRUE,0.334,0.1202,FALSE,3.255,-4.4774666666666665,-26.958666666666666,1.2741982371621179,49.2318310041065,38.63749734402016,0.2905,34.5,2.8,3.5,0.7978,28.1,5.2,5.9,0.115,0.1148,0.3761,0.3756,NA,NA,NA,NA,NA,NA,NA
326,RHTR,PJ,2.6048,5,TRUE,0.2533,0.082,FALSE,3.21,-2.1934666666666667,-27.873666666666665,1.427522999961202,48.71185563156259,34.12334206376115,0.3612,19.6,4.3,4.3,0.3577,21.9,4.3,3.9,0.1498,0.1498,0.1583,0.1583,NA,NA,NA,NA,NA,NA,NA
327,RHTR,PJ,2.9757,5,TRUE,0.2756,0.0903,FALSE,3.147,-2.4554666666666662,-28.140666666666668,1.447195202681853,49.15055719964895,33.962631377278036,0.2582,18.1,3.7,5,0.8532,25.1,5.2,5.8,0.1518,0.1518,0.3621,0.3611,NA,NA,NA,NA,NA,NA,NA
328,RHTR,PJ,2.2499,5,TRUE,0.2545,0.0777,FALSE,NA,NA,NA,NA,NA,NA,0.0464,16.2,1.7,1.6,1.2534,25.7,6.9,7,0.0171,0.0171,0.5384,0.5374,NA,NA,NA,NA,NA,NA,NA
329,BRCA3,PJ,2.565,5,TRUE,0.3543,0.0716,FALSE,3.03,-1.45965,-30.1125,2.379152195633113,46.25466808014431,19.441660001845968,0.0896,17,2.1,2.2,NA,NA,NA,NA,0.0292,0.0288,NA,NA,NA,NA,NA,NA,NA,2.285,11
330,LYPH,PJ,0.6762,5,TRUE,0.0458,0.0172,FALSE,NA,NA,NA,NA,NA,NA,0.0109,20,0.5,0.5,0.0115,58.9,0.3,0.1,0.0061,0.006,0.0037,0.0037,NA,NA,NA,NA,NA,1.176,11
331,LYPH,PJ,0.6396,6,FALSE,0.058,0.0232,FALSE,3.087,-2.6719625000000002,-16.275375,1.8926604058399508,46.76696654084383,24.70964489801801,0.0348,25,0.3,1.1,0.0144,47.3,0.3,0.3,0.0121,0.0121,0.0054,0.0053,NA,NA,NA,NA,NA,NA,NA
332,LYPH,PJ,0.5316,5,TRUE,0.039,0.0153,FALSE,NA,NA,NA,NA,NA,NA,0.284,20.5,1.2,0.4,0.0148,53.1,0.3,0.2,0.0101,0.0101,0.0037,0.0037,NA,NA,NA,NA,NA,NA,NA
333,LYPH,PJ,0.8369,5,TRUE,0.0597,0.0215,FALSE,3.098,-3.0069625,-15.705375,2.049714602014522,47.39767085344167,23.124034344516936,0.0371,21.2,0.5,1.4,0.0205,53.2,0.1,0.4,0.0121,0.0121,0.0047,0.0045,NA,NA,NA,NA,NA,1.28,11
334,LYPH,PJ,0.6761,5,TRUE,0.0459,0.0176,FALSE,3.108,-3.2789624999999996,-15.804375,1.6256279466677734,42.54805440707085,26.173303980339554,0.0216,23.5,0.2,0.5,0.0123,54,0.2,0.2,0.0076,0.0076,0.0036,0.0035,NA,NA,NA,NA,NA,1.76,14
335,ARFEF,PJ,0.6587999999999999,5,TRUE,0.0995,0.0196,FALSE,NA,NA,NA,NA,NA,NA,0.0514,6.2,2.1,3.1,0.2452,32.1,2,2.9,0.0153,0.0151,0.0802,0.08,NA,NA,NA,NA,NA,1.187,19
336,ARFEF,PJ,1.0261,5,TRUE,0.2081,0.061,FALSE,3.27,-2.0228124999999997,-29.380625000000002,2.9236073017921793,43.74239674773213,14.961789403425666,0.056,5.2,3.4,2.5,0.2057,30.3,2.3,2.8,0.0194,0.0191,0.0728,0.0725,NA,NA,NA,NA,NA,NA,NA
337,ARFEF,PJ,0.7506999999999999,5,TRUE,0.1247,0.0258,FALSE,NA,NA,NA,NA,NA,NA,0.0934,7,2.2,2.8,0.2026,34.8,2.1,2.3,0.029,0.0287,0.0672,0.0666,NA,NA,NA,NA,NA,NA,NA
338,ARFEF,PJ,0.7726999999999999,5,TRUE,0.1431,0.0326,FALSE,3.204,-5.7143125,-29.288625000000003,2.8944513827002756,43.774781990579065,15.123688811017768,0.0716,12.3,2,2.1,0.2618,32.7,2,3.4,0.0228,0.0224,0.0885,0.0881,NA,NA,NA,NA,NA,NA,NA
339,ARFEF,PJ,0.6786,5,TRUE,0.1067,0.0266,FALSE,3.075,-1.3023125,-29.627625000000002,2.5307685990807642,44.37674195093052,17.534887214520214,0.155,6.9,4.2,4.6,0.2027,16,3.1,4.2,0.046,0.046,0.0682,0.0682,NA,NA,NA,NA,NA,NA,NA
340,ASNU4,PJ,0.4083,10,TRUE,0.0592,0.012,FALSE,3.187,-0.3333125000000001,-26.293625,6.056365060474307,46.281542922561115,7.64180204799883,0.0414,12.9,1.2,1.2,0.2635,20.7,2.8,3.4,0.0091,0.0091,0.0815,0.0811,NA,NA,NA,NA,NA,NA,NA
