node,a_p,area,avg.height_A,avg.height_B,avg.height_C,avg.height_F,avg.height_G,avg.height_P,max.height_A,max.height_B,max.height_C,max.height_F,max.height_G,max.height_P,p95.height_A,p95.height_B,p95.height_C,p95.height_F,p95.height_G,p95.height_P,cn,d13C,d15N,pN,pC,fr.dens,fr.diam,fr.dmc,fr.srl,ldmc,lma,sla,rdens,rdmc,sdens,sdmc,seed_mass,F_A_BM_acor,F_B_BM_acor,F_C_BM_acor,F_F_BM_acor,F_G_BM_acor,F_P_BM_acor,F_A_BM_cv,F_B_BM_cv,F_C_BM_cv,F_F_BM_cv,F_G_BM_cv,F_P_BM_cv
node 023,0.1665470067620099,-0.14527016888754307,1.189465864180982,-5.077825540277,2.1658063292001963,-2.5099599595613267,-0.5415138201554526,2.8949486347342104,24.56647566303102,-6.866073541968507,26.748354922722722,18.734072308343347,19.101651198014476,23.682380065697156,-3.7313587029748927,-10.017651866806768,15.852809813902683,0.6949703655388654,6.755721648492521,8.651412362250818,5.070876855542993,1.723488850695266,-2.9145561491546133,-0.1510771430912661,2.284461127731843,23.235712345224027,-0.018836977107466787,-0.019025554304507263,-0.15334722476342505,0.11923259203370724,0.003763687284661033,-7.395070056752232,1.266468928278342e-4,0.028587706535115002,2.6159495849715006e-4,0.06300127637813122,0.9963471430129388,0.026015460760161993,-0.025639604604016885,0.02538543451838251,0.026672392860311665,0.08630713408855382,-0.003421627115733167,-0.7347062979150468,-0.24686483086980923,-1.3757631555507217,-0.7535042114786574,-0.7321734870531016,-0.24742639621662893
node 024,0.7030499455664176,1.013919601453086,5.833227355238334,1.3047215698003316,-0.02763020394139679,8.264119986094276e-4,-2.943679009477327,9.760810236898227,33.20724133750429,15.38243758689944,3.357095615800909,4.16774278842811,-14.087064250674782,75.336404053984,-0.778991215144818,10.171993905355496,6.836901726093065,5.842909191667544,-11.114213760350948,31.27582918224153,1.4758743835499566,-7.282500014616745,1.2915273074799742,-0.10449317546046658,-2.9012799364798765,-58.90003451626219,0.0015137056603203253,-0.03754861814148505,-0.045403348030870004,-0.03494239973450481,0.004538654148820904,-11.305235627425441,-5.004756373352483e-4,-0.052366994573669765,-5.743547415025705e-4,-0.04569027804997411,0.07615995573095227,0.07637414602280888,0.0014068964766606128,0.01831228775037032,-0.016881158775772707,0.1476357527508248,0.052455449923301145,-0.13729599268233159,-0.16401731629872673,0.3737490944699288,-0.010115813920187417,0.014433024831174151,-0.1280113619405203
node 025,-0.45476681356633286,-0.5186606325970927,-10.241451044228418,0.6102443355010355,NA,-1.4891982596812399,-5.875721258041331,-14.873650793247444,-63.90362357572102,5.184742231720102,NA,-21.19036226813682,-35.88314920284846,-87.12190806342159,4.581057367946828,4.291154001758677,NA,-5.952465128192092,-23.05711022097729,-42.656761461139425,-4.516831333568596,0.5846978086339686,6.113723674931487,0.6145647874386958,1.141887276365502,-0.5954232320467351,-0.011942457284480014,-0.033530761774924686,-0.022658598645587755,-0.06808093362101758,-0.016737718855888786,10.531968137983878,-3.233947295391486e-4,-0.14137691013788628,-4.2099612549712553e-4,-0.13953217516346086,5.4316458792305315,-0.10037131606046931,0.033508423080501795,NA,-0.028042007271540676,-0.26947086382981084,-0.06777194666991722,0.47656307259576325,-0.292988222307014,NA,0.29821702035194614,1.0747810813947378,0.6121621008995224
node 026,0.5910824069286744,-0.06631944605739731,-9.980190008027897,-10.002769355972573,NA,-8.289799080594275,NA,NA,-46.695510147365276,-47.87767496122263,NA,-38.788772973000285,NA,NA,-26.268346253867282,-27.2503405063483,NA,-26.268346253867282,NA,NA,-4.400316245367455,-0.09451407686789946,0.4730757311327321,0.8274774568531312,-4.7865345848682335,18.701681653915948,-0.019867151499234195,0.0037643023893285826,-0.05385043695845057,-0.0896560752515171,-0.014528430703536268,11.1338508346298,-1.4729913787215297e-4,-0.09194867619315754,-1.4729913787215297e-4,-0.02700484194322807,-7.9923798735267635,-0.03678658302231223,-0.014581522811482676,NA,-0.022337343911874977,NA,NA,1.2036649388583798,1.1337553066091632,NA,1.189075102562891,NA,NA
node 027,1.1206887238456493,-0.6970683862319939,10.519232637504803,10.519232637504803,NA,8.355723491603237,NA,NA,-14.56895340999344,-14.56895340999344,NA,-11.57253104394039,NA,NA,0.4450973478438612,0.4450973478438612,NA,0.4450973478438612,NA,NA,-8.909958709138413,-0.09290509520680679,-1.408911144864958,0.664352301391747,4.2777415906577865,NA,NA,NA,NA,0.05358972068040086,0.012697771618444176,-5.167402169528091,8.901946956877228e-5,0.029362294962535656,8.901946956877228e-5,0.05821873309797705,13.844764356644381,1.728721836246286e-4,1.0293245800011293e-4,NA,1.4612487439729185e-4,NA,NA,-0.8940590294346548,-0.8940590294346548,NA,-0.8940590294346548,NA,NA
node 028,0,-1.1660004248302906,-27.338605381653515,NA,-7.034785205152593,-6.7336732259620025,-5.224607233086931,-26.598228496074476,-104.02870146093578,NA,-18.016826002505358,-36.95759180001099,-42.96302561552355,-104.27070809651893,-19.074650229496573,NA,-20.97343334650624,-20.395970974631066,-22.980595033766985,-72.18189280504647,-18.507888125799756,0.2122558588615771,-1.20449921140336,1.1733962423427793,-7.095448855427408,-70.03680024379403,-0.010203927363646526,-0.008853172585856486,-0.0804615441934825,-0.030694912319261337,0.009853348293857325,-3.6554930507242323,-6.869116342665822e-5,-0.04312560595070352,-7.434608303547042e-5,-0.05769023827012082,-0.6978743223466322,-0.04940166561934775,NA,0.02652859941736629,0.0449043806702004,0.06964688262295177,-0.11872134335721228,-0.26688593817669387,NA,-0.5476074182174878,-0.6553056685089296,-0.24930355415353994,0.08363122450097672
node 029,0,0.012649163508273551,0.644870905959184,NA,NA,NA,NA,0.8606452806377117,52.015251809723345,NA,NA,NA,NA,41.2738270262865,2.798683619570907,NA,NA,NA,NA,4.600311970638183,-3.4495494101153286,-2.261244855946338,-3.934949169116695,0.4104244978244425,4.460512493044534,18.464232227637932,-0.011053241009566213,0.023052213870218306,-0.018264446374096042,-0.004271674998292429,-0.02093803248450815,7.273926026402657,0,-0.0021784753874265436,4.9099712624051015e-5,0.013846118959982437,-0.4626955020216384,-0.08841641522208545,NA,NA,NA,NA,-0.056561903291872266,1.1086884987400407,NA,NA,NA,NA,0.4455077327191841
node 030,0,-1.0767577258709,1.0207232896786174,NA,NA,NA,NA,NA,8.965509790765195,NA,NA,NA,NA,NA,4.450973478438612,NA,NA,NA,NA,NA,5.826680361154415,0.7631890209388882,1.4503051982144373,-0.4515957691223814,-0.11252060953493152,11.592628297204167,-0.013560333558532357,0.011879300472763888,-0.03238790411913926,0.05154227288031913,0.007618662971066508,-1.514043138425679,1.7803893913754442e-4,0.15151414444417288,8.901946956877218e-5,0.17002718687635499,NA,0.006300115921971378,NA,NA,NA,NA,NA,0.25774405067811895,NA,NA,NA,NA,NA
node 031,0,-1.8014835281136485,-59.17271152643078,NA,NA,NA,NA,-47.44367589722372,-209.52626814314343,NA,NA,NA,NA,-156.10383197276548,NA,NA,NA,NA,NA,-119.8568121648478,-5.108137849703189,-1.1708939149688344,4.913434418507928,0.3565702445332349,-3.8401470823407884,NA,NA,NA,NA,-0.09544419422832674,0.01838484482653135,-7.870365043979943,-6.812576318938374e-5,-0.09559171790802193,1.703144079734594e-4,-0.1357405831548473,NA,-0.2224407273674041,NA,NA,NA,NA,-0.11858511525205516,0.7124875171089351,NA,NA,NA,NA,0.2615935956834382
node 032,0,-1.2692798327370818,-8.520987932057462,NA,NA,NA,NA,-8.025523690982133,-91.1587418517476,NA,NA,NA,NA,-107.48392454762109,-26.038644214764663,NA,NA,NA,NA,-34.39485585523875,24.801150822311968,2.41437851846155,-3.5267593613286587,-1.1551824828090733,-1.0864742204768842,NA,NA,NA,NA,0.01787209135808441,0.008589259762943016,-3.0390002013476036,2.4822349108450585e-4,-0.07113824876532618,3.475128875183081e-4,-0.10748077163959101,NA,0.023341009126835083,NA,NA,NA,NA,-0.03777308057597854,-0.20816589782332587,NA,NA,NA,NA,-0.03336157610358494
