"kartez","family","genus.old","genus.new","species.old","species.new","taxon.old","taxon.new","life_cycle","life_form","native","path","a_p","g_f","apgf","avg.height_A","avg.height_B","avg.height_C","avg.height_F","avg.height_G","avg.height_P","max.height_A","max.height_B","max.height_C","max.height_F","max.height_G","max.height_P","p95.height_A","p95.height_B","p95.height_C","p95.height_F","p95.height_G","p95.height_P","ldmc","sla","lma","area","d15N","d13C","pN","pC","cn","sdmc","rdmc","sdens","rdens","fr.diam","fr.dmc","fr.srl","fr.dens","seed_mass"
"CHGR2","Chenopodiaceae","Chenopodium","Chenopodium","graveolens","vulvaria","Chenopodium_graveolens","Chenopodium_vulvaria","a","H","y","C3","a","f","a_f",9.3864,NA,NA,NA,NA,9.3864,50,NA,NA,NA,NA,50,29,NA,NA,NA,NA,29,0.0978,83.383,0.0122,0.4392,-3.2344,-27.1408,1.6523,54.7665,35.0116,0.2168,0.2386,8e-04,7e-04,0.0254,0.0989,0.0378,77.5429,NA
"CHIN2","Chenopodiaceae","Chenopodium","Chenopodium","incanum","incanum","Chenopodium_incanum","Chenopodium_incanum","a","H","y","C3","a","f","a_f",14.5417,16.6364,12.7692,14.5417,NA,NA,39,39,16,39,NA,NA,26.2,31,15.5,26.2,NA,NA,0.0988,33.8645,0.0301,0.5563,9.5212,-25.5122,2.7563,36.5811,13.438,0.2725,0.3792,4e-04,6e-04,NA,NA,NA,NA,0.3463
"CHRE4","Euphorbiaceae","Euphorbia","Euphorbia","revoluta","revoluta","Euphorbia_revoluta","Euphorbia_revoluta","a","H","y","C4","a","f","a_f",5.4598,7.4933,7.7273,9.8242,10.3368,4.5097,23,14,12,23,23,13,15,12.4,11.3,18.45,19,9,0.2411,41.8416,0.0243,0.1614,-1.1805,-15.5918,1.7901,45.779,25.909,0.3053,0.2666,0.0017,0.0014,0.0309,0.1677,0.1085,130.2155,0.1453
"CHSE7","Euphorbiaceae","Euphorbia","Euphorbia","serrula","serrula","Euphorbia_serrula","Euphorbia_serrula","a","H","y","C4","a","f","a_f",3.5717,3.7044,2.8729,3.5871,4.0368,3.2256,31,11,20,31,31,9,10,8.25,8,10,11,8,0.2738,31.0494,0.0334,0.3836,1.3964,-14.5372,1.5738,45.2685,30.119,0.27,0.2993,0.001,9e-04,0.0204,0.0927,0.0417,158.5703,0.7086
"CHSES","Euphorbiaceae","Euphorbia","Euphorbia","serpyllifolia","serpyllifolia","Euphorbia_serpyllifolia","Euphorbia_serpyllifolia","a","H","y","C4","a","f","a_f",4.3076,4.1988,4.8514,4.421,4.5315,3.8551,35,17,15,17,17,35,11,11,10,11,13,10,0.2983,30.8889,0.0327,0.2475,0.2021,-14.407,1.6056,47.2936,29.4697,0.3305,0.3158,0.0013,9e-04,0.0156,0.0743,0.0128,69.5452,0.1534
"CINE","Asteraceae","Cirsium","Cirsium","neomexicanum","neomexicanum","Cirsium_neomexicanum","Cirsium_neomexicanum","bp","H","y","C3","p","f","p_f",5.3571,6.1,NA,6.1,NA,3.5,13,13,NA,13,NA,5,11.9,12.3,NA,12.3,NA,5,0.21,8.8694,0.113,2.4714,5.8961,-27.6129,1.7201,45.7988,27.7924,0.2783,0.2981,3e-04,4e-04,NA,NA,NA,NA,10.8382
"COEQ","Convolvulaceae","Convolvulus","Convolvulus","equitans","equitans","Convolvulus_equitans","Convolvulus_equitans","ap","V/H","y","C3","p","f","p_f",10.2319,10.2712,NA,10.2712,NA,10,33,33,NA,33,NA,25,25.6,26.75,NA,26.75,NA,21.15,0.2054,38.3978,0.026,1.3708,3.8944,-28.7986,3.0534,46.467,15.2181,0.1838,NA,3e-04,NA,NA,NA,NA,NA,NA
"CRCR3","Boraginaceae","Cryptantha","Cryptantha","crassisepala","crassisepala","Cryptantha_crassisepala","Cryptantha_crassisepala","a","H","y","C3","a","f","a_f",1.0064,1.0039,1.0079,1.0064,1,1,5,2,5,5,1,1,1,1,1.95,1,1,1,0.1475,27.5231,0.0366,0.2609,4.8741,-28.9042,1.3902,35.1498,25.647,0.2324,0.2811,3e-04,4e-04,NA,NA,NA,NA,0.2873
"DABR","Fabaceae","Dalea","Dalea","brachystachya","brachystachya","Dalea_brachystachya","Dalea_brachystachya","ab","H","y","C3","a","f","a_f",9.6713,NA,NA,NA,NA,9.6713,20,NA,NA,NA,NA,20,17,NA,NA,NA,NA,17,0.1778,36.0098,0.0279,0.2439,-2.4432,-28.5354,2.9775,46.044,15.5914,0.3032,0.2761,0.0012,0.0012,0.049,0.0795,0.0798,59.7822,1.0018
"DAJA?","Fabaceae","Dalea","Dalea","jamesii","jamesii","Dalea_jamesii","Dalea_jamesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAPU7","Poaceae","Dasyochloa","Erioneuron","pulchella","pulchellum","Dasyochloa_pulchella","Erioneuron_pulchellum","p","G","y","C4","p","g","p_g",2.8261,2.7839,2.6868,2.8261,3.5225,NA,15,10,15,15,12,NA,8,8,7.9,8,9,NA,0.378,25.682,0.0398,0.1175,0.0124,-15.6547,1.055,43.2351,41.7245,0.3171,0.2662,0.0023,0.0022,0.0396,0.177,0.2247,194.8347,0.2008
"DRGL5","Caryophyllaceae","Drymaria","Drymaria","glandulosa","glandulosa","Drymaria_glandulosa","Drymaria_glandulosa","a","H","y","C3","a","f","a_f",5.4162,NA,NA,NA,NA,5.4162,48,NA,NA,NA,NA,48,15,NA,NA,NA,NA,15,0.1654,97.1814,0.0109,0.2091,0.3098,-27.6977,2.2626,44.8722,20.5637,0.1102,0.1311,0.0011,8e-04,0.0355,0.1146,0.0307,73.2009,0.0742
"ELEL5","Poaceae","Elymus","Elymus","elymoides","elymoides","Elymus_elymoides","Elymus_elymoides","p","G","y","C3","p","g","p_g",6.1653,18,27.5714,26.9333,NA,4.8283,46,18,46,46,NA,32,32,18,42.15,41.8,NA,29.5,0.3311,19.5707,0.052,1.5576,2.1451,-29.5366,1.3674,46.1471,34.2249,0.35,0.3729,0.0015,4e-04,NA,NA,NA,NA,1.8664
"ENDE","Poaceae","Enneapogon","Enneapogon","desvauxii","desvauxii","Enneapogon_desvauxii","Enneapogon_desvauxii","p","G","y","C4","p","g","p_g",7.263,6.5976,7,7.2261,9.3867,20,28,28,12,28,25,20,19.15,18,12,18.2,21.05,20,0.3696,37.1727,0.0292,0.3634,2.0561,-14.3587,1.2777,45.0172,35.269,0.3923,0.1786,0.0011,0.0014,0.045,0.0763,0.1052,117.6658,0.2079
"EPTO","Ephedraceae","Ephedra","Ephedra","torreyana","torreyana","Ephedra_torreyana","Ephedra_torreyana","p","ss/S","y","C3","p","s","p_s",20.28,NA,NA,20.28,20.28,NA,31,NA,NA,31,31,NA,29.8,NA,NA,29.8,29.8,NA,0.4683,2.9813,0.3375,0.8709,2.2578,-24.8517,1.2283,47.3625,38.7659,0.5106,NA,7e-04,NA,NA,NA,NA,NA,4.6503
"ERAB2","Polygonaceae","Eriogonum","Eriogonum","abertianum","abertianum","Eriogonum_abertianum","Eriogonum_abertianum","a","H","y","C3","a","f","a_f",10.6667,12,8,10.6667,NA,NA,12,12,8,12,NA,NA,12,12,8,12,NA,NA,0.1602,27.5651,0.0366,0.2666,3.8741,-29.6087,1.9261,40.3341,21.0087,0.3525,0.3672,6e-04,5e-04,0.0358,0.0816,0.1179,153.7277,0.2382
"ERCI","Poaceae","Eragrostis","Eragrostis","cilianensis","cilianensis","Eragrostis_cilianensis","Eragrostis_cilianensis","a","G","n","C4","a","g","a_g",6.8564,8.0616,NA,8.0616,NA,3.2653,34,34,NA,34,NA,20,22.4,24.4,NA,24.4,NA,18.2,0.2262,67.7797,0.015,0.4358,4.056,-15.5074,2.694,44.5739,16.9106,0.1108,0.4135,0.0013,0.0012,0.0452,0.106,0.0941,100.9204,0.6556
"ERWR","Polygonaceae","Eriogonum","Eriogonum","wrightii","wrightii","Eriogonum_wrightii","Eriogonum_wrightii","p","S/ss/H","y","C3","p","s","p_s",5.4416,7.2727,NA,7.2727,NA,4.7091,36,36,NA,36,NA,18,18,28.3,NA,28.3,NA,11.6,0.284,17.8181,0.0579,0.3281,-0.0117,-29.1541,1.8064,46.4175,27.2943,0.399,0.4765,8e-04,7e-04,NA,NA,NA,NA,0.752
"EUEX4","Euphorbiaceae","Euphorbia","Euphorbia","exstipulata","exstipulata","Euphorbia_exstipulata","Euphorbia_exstipulata","a","H","y","C3","a","f","a_f",10.0429,8.6389,8.3729,10.1414,10.8509,5.2245,27,23,19,27,27,16,18,17,16.1,18,19,14.6,0.164,33.2782,0.0304,0.5884,1.7725,-28.4628,2.4043,44.4046,18.8994,0.2412,0.2447,5e-04,6e-04,NA,NA,NA,NA,2.7431
"EVNU","Convolvulaceae","Evolvulus","Evolvulus","nuttallianus","nuttallianus","Evolvulus_nuttallianus","Evolvulus_nuttallianus","p","ss/H","y","C3","p","f","p_f",6.2593,6.2593,NA,6.2593,NA,NA,14,14,NA,14,NA,NA,11.85,11.85,NA,11.85,NA,NA,0.3142,19.762,0.0515,0.2925,1.869,-27.5321,2.0804,45.0515,22.0549,0.24,0.4919,5e-04,4e-04,0.0819,0.167,0.6002,128.1785,4.0905
"GACO5","Onagraceae","Gaura","Gaura","coccinea","coccinea","Gaura_coccinea","Gaura_coccinea","p","ss/H","y","C3","p","f","p_f",14.16,14.16,NA,14.16,NA,NA,36,36,NA,36,NA,NA,29,29,NA,29,NA,NA,0.2638,23.1478,0.0437,0.5779,3.5217,-27.8958,2.5336,48.9177,19.3151,0.268,0.2859,4e-04,4e-04,0.0386,0.0358,0.0731,72.8203,13.1957
"GASUN","Onagraceae","Gaura","Gaura","suffulta","suffulta","Gaura_suffulta","Gaura_suffulta","a","H","y","C3","a","f","a_f",4.7736,4.7736,NA,4.7736,NA,NA,49,49,NA,49,NA,NA,28.5,28.5,NA,28.5,NA,NA,0.2036,28.9526,0.0347,1.1999,5.1044,-27.8129,1.7873,44.1123,29.3241,0.2026,0.2339,3e-04,3e-04,NA,NA,NA,NA,0.8419
"GLBI2","Verbenaceae","Glandularia","Glandularia","bipinnatifida","bipinnatifida","Glandularia_bipinnatifida","Glandularia_bipinnatifida","ap","H","y","C3","p","f","p_f",3.7839,3.4646,NA,3.4646,NA,4.6559,22,22,NA,22,NA,21,16,17,NA,17,NA,15.35,0.2175,29.326,0.0343,1.0693,-1.358,-28.9291,2.1033,45.0021,22.0841,0.3036,0.363,6e-04,6e-04,0.0508,0.0422,0.0553,36.8313,1.1614
"GUSA2","Asteraceae","Gutierrezia","Gutierrezia","sarothrae","sarothrae","Gutierrezia_sarothrae","Gutierrezia_sarothrae","p","S/ss/H","y","C3","p","s","p_s",17.1608,24,18.1452,17.3229,16.3663,16,61,24,61,61,49,48,37,24,39.55,37,33,30,0.3586,19.7551,0.0572,0.2948,3.295,-27.1808,2.22,53.7884,24.8032,0.3846,0.4729,8e-04,7e-04,0.0531,0.0685,0.1312,69.5857,0.0979
