kartez,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
HODR,0.051171001804256176,2.4032692332815446,0.17608152257328913,2.819974880213456,5.440351045063615e-4,1.841213565837707,0.051171001804256176,2.4032692332815446,0.05476705238161838,2.5725307473348247,NA,NA
HOGL2,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047618,3.872983346207417
HYFIC,-0.041878154635016186,3.567114631359259,-0.041878154635016186,3.567114631359259,NA,NA,-0.041878154635016186,3.567114631359259,NA,NA,NA,NA
HYVE,-0.01610671492704812,3.333009759102728,0.026959831088664905,1.9830757913410046,NA,NA,0.026959831088664905,1.9830757913410046,NA,NA,-0.03333333333333333,3.872983346207417
IPCO2,-0.04988247387582547,3.6014403453762314,-0.03610385309221838,3.397783094752842,NA,NA,-0.03610385309221838,3.397783094752842,NA,NA,-0.06825396825396826,3.872983346207417
IPCR,-0.08397473528044612,3.3925043226715634,NA,NA,NA,NA,NA,NA,NA,NA,-0.08397473528044612,3.3925043226715634
IPLA2,-0.07619047619047621,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047621,3.872983346207417
IPPU4,-0.0775579663901298,3.8415715227584935,NA,NA,-0.0775579663901298,3.8415715227584935,-0.0775579663901298,3.8415715227584935,NA,NA,NA,NA
JUMO,0.35559219033158995,1.7660816737987306,NA,NA,NA,NA,NA,NA,NA,NA,0.35559219033158995,1.7660816737987306
KAPA,-0.08442366689528183,3.4810251715992315,-0.07619047619047617,3.872983346207417,-0.10609638404416018,3.4011583958294027,-0.09019129940738561,3.6360077335724115,-0.08952480791043282,3.635263537360213,-0.05991122871884072,2.8223492832132164
LAOCO,-0.0730760352735291,3.7050197021008002,NA,NA,-0.06662231913642803,3.708445850506821,-0.06662231913642803,3.708445850506821,NA,NA,-0.08874934589220308,3.6966990559718913
LATR2,0.3413948405119068,1.0769521171108463,NA,NA,0.3528553250100977,1.0016237848975271,0.3413948405119068,1.0769521171108463,0.1408363617935665,2.3951979308439317,NA,NA
